name,country,reason_for_listing,license_requirement,remarks
AeroTech Precision Ltd,China,Involved in missile technology development,License Required for All Items,Suspected procurement for ballistic programs
Alpha Semiconductor Co,Taiwan,Illicit acquisition of controlled ICs,License Required for All Items,Dual-use technology diversion risk
Alpine Steel Industries,India,Procurement of dual-use metals,License Required for All Items,Materials linked to weapons components
Altima Electronics Group,UAE,Transfer of restricted RF modules,License Required for All Items,Front company for Iranian procurement
Apex Industrial Tools,China,Export of controlled CNC machines,License Required for All Items,Potential support for military modernization
Arctic Navigation Systems,Russia,Development of unmanned naval systems,License Required for All Items,High-risk military end use
Asia Pacific Robotics,China,Acquisition of robotic systems for defense,License Required for All Items,Military integration concerns
Atlas Heavy Machinery,Belarus,Direct support to weapons development,License Required for All Items,Involvement in prohibited R&D
Aurora Space Technologies,China,Satellite technology diversion risk,License Required for All Items,Linked to military aerospace units
Beijing Advanced Optics,China,Procurement of night-vision components,License Required for All Items,Diversion to restricted units
Beijing Aeronautics Institute,China,Development of UAV subsystems,License Required for All Items,Military aerospace linkages
Bharat Industrial Metals,India,Diversion of specialized alloys,License Required for All Items,Possible missile production support
Blue River Electronics,China,High-end chip diversion,License Required for All Items,Intermediary for sensitive semiconductors
Brightway Global Trading,Pakistan,Procurement for defense labs,License Required for All Items,Known weapons R&D supplier
Caspian MicroSystems,Russia,Development of advanced processors,License Required for All Items,National-security controlled chips
Central Asia Electronics,Kazakhstan,Reexport of sensitive US components,License Required for All Items,Weak compliance controls
Changzhou Robotics Co,China,Military drone component supplier,License Required for All Items,Linked to restricted UAV programs
Chongqing Sensors Inc,China,Export-controlled sensors procurement,License Required for All Items,High precision measurement tools
Cobalt Navigation Systems,China,Development of GPS-denied navigation tools,License Required for All Items,Military end use suspected
ComTech Integrated Circuits,China,Unauthorized access to controlled ICs,License Required for All Items,Downstream for ballistic systems
Cosmos Engineering Works,Iran,Diversion of industrial tools,License Required for All Items,Linked to missile assembly plants
Crimson Dynamics,Russia,Research for combat electronics,License Required for All Items,Defense innovation hub
CyberLink Automation,China,Advanced PLC diversion risk,License Required for All Items,Possible contributions to military AI
Dalian Aero Components,China,Aircraft engine components procurement,License Required for All Items,Used in military jet engines
Delta Semiconductor Pvt Ltd,India,Advanced lithography equipment diversion,License Required for All Items,Concern for unauthorized reexport
Diamond Precision Tools,China,Advanced CNC tools supply,License Required for All Items,Possible weapons machining use
Eastern Robotics Lab,China,UAV systems R&D,License Required for All Items,Connected to restricted aerospace institute
Elite Industrial Chemicals,Iran,Procurement of restricted chemical precursors,License Required for All Items,High WMD concern
Empire Navigation Systems,Russia,Advanced guidance navigation development,License Required for All Items,Military end use
Everest Precision Works,China,High-tolerance fabrication tools,License Required for All Items,Linked to defense machining efforts
Falcon Radar Systems,Pakistan,Procurement of radar components,License Required for All Items,Possible airborne radar deployment
Fars Electronics Industries,Iran,Procurement of restricted microelectronics,License Required for All Items,Supports missile electronics
FutureTech Robotics,China,AI/robotic integration for combat drones,License Required for All Items,High-risk dual-use development
Galaxy Navigation Labs,China,Production of navigation-grade IMUs,License Required for All Items,Sensitive aerospace applications
Global Semiconductor Hub,China,Advanced chip manufacturing risk,License Required for All Items,Potential diversion to restricted labs
Golden Star Metallurgy,Iran,Procurement of aerospace alloys,License Required for All Items,Supports missile structural components
Green Valley Electronics,China,Electronic warfare component supplier,License Required for All Items,High-risk defense contractor
Hafez Industrial Engineering,Iran,Acquisition of industrial control systems,License Required for All Items,Supports restricted facilities
Harbin Aviation R&D,China,Unmanned systems development,License Required for All Items,Affiliated with military institutes
Horizon Engine Components,China,Procurement of export-controlled turbine blades,License Required for All Items,Jet engine integration
Ibrahim Analytical Systems,Pakistan,Procurement of scientific instruments,License Required for All Items,Potential nuclear research use
Iceberg Engineering,Russia,Support to military vehicle R&D,License Required for All Items,Tracks design for armored systems
Imperial Dynamics Group,China,Research on ballistic missile improvements,License Required for All Items,High-level defense collaboration
Industrial Metals Overseas,UAE,Transshipment of specialized metals,License Required for All Items,Known front for Iranian supply
Infinite Microsystems,China,Unauthorized acquisition of U.S. chips,License Required for All Items,Downstream military contractor
Inspire Robotics,China,Development of robotic manipulators,License Required for All Items,Potential nuclear application
Iran NanoMaterials Institute,Iran,Composite materials development,License Required for All Items,Supports missile structures
IronBridge Engineering,Russia,Production of weapons-grade steel,License Required for All Items,Defense material supplier
Jiangsu Fiber Optics,China,Procurement of controlled optics,License Required for All Items,Possible laser systems integration
Jinlong Chip Fabrication,China,Semiconductor R&D for military use,License Required for All Items,Military-controlled fab
Kabul Engineering Solutions,Afghanistan,Procurement for extremist-linked labs,License Required for All Items,Diversion network
Kalashnikov Metals Ltd,Pakistan,Specialty metals procurement,License Required for All Items,Potential weapons-grade alloys
Kamran Aerospace Systems,Pakistan,Drone components procurement,License Required for All Items,Supports UAV research programs
Karam Scientific Industries,Iran,Procurement of lab equipment,License Required for All Items,Associated with restricted research
KazTech Microsystems,Kazakhstan,High-end chip reexporter,License Required for All Items,Weak due diligence practices
Kinetic Semiconductor Works,China,Advanced semiconductor development,License Required for All Items,Defense supply chain linkage
Liberty Optoelectronics,Russia,Procurement of high-precision optics,License Required for All Items,Linked to missile guidance projects
Lion Industrial Materials,UAE,Transshipment of composite materials,License Required for All Items,High-risk diversion channel
Lotus Precision Tools,China,Advanced CNC grinders supplier,License Required for All Items,Defense-related machining tools
Magma Robotics Institute,China,AI-enhanced robotic systems,License Required for All Items,Military dual-use capability
Marine Navigation Tech,Russia,Advanced naval guidance systems,License Required for All Items,Defense contractor
Medina Electronics,Pakistan,Diversion of microcontrollers,License Required for All Items,Used in weapon control units
Mercury Chip Solutions,China,Unauthorized IC procurement,License Required for All Items,Linked to restricted labs
MidEast Metals Trading,UAE,Procurement of dual-use special alloys,License Required for All Items,Potential missile structure use
Mirage Aerospace Components,China,High-risk aircraft components supply,License Required for All Items,Affiliated with PLA aerospace units
Nano Precision Materials,China,Production of high-strength alloys,License Required for All Items,Supports missile casings
NanoCore Scientific,Russia,Advanced materials for weapons,License Required for All Items,Military research partner
NeoVision Optics,China,Development of optical targeting systems,License Required for All Items,Defense-grade optoelectronics
Neptune Marine Labs,China,Underwater vehicle components,License Required for All Items,Military maritime applications
name,country,reason_for_listing,license_requirement,remarks
NexGen Robotics Labs,China,Development of robotic systems for military AI,License Required for All Items,High-risk dual-use robotics
Nile Aerospace Components,Egypt,Procurement of restricted aerospace parts,License Required for All Items,Affiliated with defense firms
North Frontier Electronics,Russia,Advanced microelectronics R&D for military use,License Required for All Items,Links to defense innovation units
Northern Optics Research Lab,China,Research in laser imaging systems,License Required for All Items,Potential dual-use applications
Nova Industrial Metallurgy,India,High-grade metal alloys for restricted programs,License Required for All Items,Concern for reexport to sanctioned states
Oceanic MicroSensors,China,Advanced sensor technology procurement,License Required for All Items,Potential end-use in UAV platforms
Omega Robotics Systems,China,AI-enhanced autonomous vehicle components,License Required for All Items,Potential weaponization risk
Onyx Navigation Instruments,Russia,Advanced navigation R&D,License Required for All Items,Supports military targeting systems
Orbit Semiconductor Labs,China,Unauthorized acquisition of US ICs,License Required for All Items,Downstream integration to PLA equipment
Oriental MicroTech,China,Design of integrated circuits for missile systems,License Required for All Items,High WMD concern
Pacific Aero Components,China,Acquisition of restricted aerospace subsystems,License Required for All Items,Integrated into defense supply chains
Pacific Engineering Solutions,Pakistan,Procurement of UAV-grade motors,License Required for All Items,Potential support to defense labs
Pearl NanoSystems,China,Development of miniature sensors,License Required for All Items,Dual-use technology supplier
Phoenix Aerospace Works,Iran,Jet engine subsystem acquisitions,License Required for All Items,Associated with sanctioned facilities
Pioneer Metallurgical Works,India,Diversion of dual-use industrial metals,License Required for All Items,Possible missile casing supplier
Polar Star Communications,Russia,Sensitive RF component development,License Required for All Items,Potential EW system support
Precision Advanced Tools,China,High-tolerance machining tool exports,License Required for All Items,Defense-related machining
PrimeTech Integrated Systems,UAE,Procurement of restricted guidance components,License Required for All Items,Acting on behalf of Iranian entities
Quantum Applied Materials,China,Development of advanced composite materials,License Required for All Items,Potential missile application
Quantum Circuits Manufacturing,China,Advanced microchip fabrication,License Required for All Items,Military-grade IC developer
RapidCore Chips,China,Unauthorized purchase of controlled processors,License Required for All Items,Used in restricted computing systems
Redline Marine Engineering,Russia,Support to naval weapons R&D,License Required for All Items,High national-security concern
Renaissance Optoelectronics,China,Research into advanced optics,License Required for All Items,Linked to surveillance systems
Rising Star Metallurgy,China,Procurement of titanium alloys,License Required for All Items,Potential aerospace application
RiverTech Electronics,China,High-speed processors procurement,License Required for All Items,Used in defense computing
Royal Chip Foundry,China,Manufactures export-controlled chips,License Required for All Items,Defense integration risk
Sahara Advanced Materials,Iran,Acquisition of missile-related composites,License Required for All Items,Supports WMD programs
Salman Engineering Works,Pakistan,Industrial tools diversion,License Required for All Items,Supports restricted labs
Samara Optics,Russia,Development of thermal imaging units,License Required for All Items,Military research partner
Seawave Dynamics,China,Underwater propulsion technology,License Required for All Items,Possible submarine program link
Shaanxi Robotics Institute,China,Research into UAV autopilot systems,License Required for All Items,High-risk military dual use
SharpEdge Precision Tools,China,Manufactures CNC tools for weapons machining,License Required for All Items,Defense supply chain
Sigma Microelectronics,China,Controlled microcontroller procurement,License Required for All Items,Linked to missile guidance systems
Silverline Navigation,Russia,Advanced inertial navigation development,License Required for All Items,Defense-grade application
SkyBridge Electronics,China,High-frequency RF devices,License Required for All Items,Possible EW deployment
SkyCore Robotics,China,AI-enabled drone flight processors,License Required for All Items,High-end UAV development
Solar Systems Integration,China,Acquisition of radiation-hardened chips,License Required for All Items,Potential satellite military use
SolidWave Defense Labs,Russia,EW technology development,License Required for All Items,Military electronic warfare partner
South Asia Precision Tools,Pakistan,Procurement of industrial metal tools,License Required for All Items,Potential ballistic engine assembly
Southern Robotics Manufacturing,China,Autonomous systems development,License Required for All Items,Possible militarization applications
Spectra Optics Research,China,Development of laser targeting optics,License Required for All Items,Suspected military integration
StarChip Nano Foundry,China,High-end chip fabrication,License Required for All Items,Used in restricted systems
SteelCore Defense Materials,Iran,Procurement of specialized metals,License Required for All Items,Supports missile body fabrication
Stellar Navigation Components,China,High-grade GPS modules procurement,License Required for All Items,Possible missile navigation use
Storm Engineering,Russia,Weapon platform subsystem development,License Required for All Items,Defense contractor link
Summit Industrial Machinery,China,CNC lathe exports,License Required for All Items,Potential missile component machining
Sunrise AeroTech,China,Procurement of turbine blades,License Required for All Items,Integrated with aerospace manufacturing
Superior Precision Metals,India,Diversion of critical alloys,License Required for All Items,Possible reexport risk
Synergy Dynamics,Russia,Guidance control system development,License Required for All Items,Potential strategic weapons integration
Tactical Systems Electronics,China,Production of controlled microcontrollers,License Required for All Items,Used in advanced UAVs
TechBridge Industrial Co,China,Exports of electronic components,License Required for All Items,Linked to restricted entities
TechCore Materials,China,Development of high-strength composites,License Required for All Items,Potential missile use
TechNova Robotics,China,Produces robotic exoskeletons,License Required for All Items,Potential combat use
Titan Aero Systems,China,Acquisition of controlled aerospace components,License Required for All Items,Possible defense aircraft use
Titanium Components Manufacturing,India,Diversion of critical titanium sheets,License Required for All Items,Potential defense reexport
TransAsia Optoelectronics,China,High-power laser systems,License Required for All Items,Possible weapons test use
TriCore Chip Engineering,China,Microchip design for defense systems,License Required for All Items,High military link
United MicroFab,China,Advanced FAB for restricted circuits,License Required for All Items,PLA-affiliated research ecosystem
Universal Navigation Lab,China,Research on GNSS-resistant navigation,License Required for All Items,Potential missile integration
Vanguard Composite Works,Iran,Development of composite rocket shells,License Required for All Items,Supports missile structures
VectorChip Foundry,China,Fab producing military-grade chips,License Required for All Items,High-risk defense ties
Velocity NanoTools,China,Manufactures precision nano-cutting tools,License Required for All Items,Potential defense machining use
Vertex Advanced Optics,China,Procurement of military-grade sensors,License Required for All Items,Used in optical tracking systems
VistaChip Integrated Labs,China,Design of controlled processors,License Required for All Items,Possible diversion to missile R&D
Vostok Industrial Metals,Russia,High-strength alloys for defense,License Required for All Items,Military linkage identified
WaveTech Navigation,China,Development of maritime navigation chips,License Required for All Items,Potential naval deployment
WestBridge Semiconductor,China,Unauthorized IC acquisition,License Required for All Items,Used in restricted systems
White Star Robotics,China,UAV hardware engineering,License Required for All Items,Supports drone development
Xiang Precision Tools,China,High-tolerance industrial cutters,License Required for All Items,Potential machining of restricted components
Xinjiang AeroWorks,China,Procurement of parts for UAV assembly,License Required for All Items,High-risk drone development
Yamato Machinery FZE,UAE,Transshipment of heavy machinery,License Required for All Items,Diversion risk to Iran
Yangtze MicroSensors,China,Advanced sensor R&D facility,License Required for All Items,Defense research ties
YellowStone Electronics,Pakistan,Controlled chip procurement,License Required for All Items,Possible diversion to restricted labs
Zenith Advanced Materials,China,Production of composite materials,License Required for All Items,Potential missile application
Zhonghua Optics Co,China,High-grade optics supplier,License Required for All Items,Defense targeting systems
Zircon Electronics,China,Advanced communications IC procurement,License Required for All Items,Linked to restricted military labs
