name,address,country,sector,risk_reason,added_to_meu_date,license_requirement,remarks
AeroDefense Materials Group,Beijing, China,Aerospace,Procurement of turbine engine components for military jets,2019-04-21,License Required for All Items,Linked with state-controlled aerospace unit
Alpha Robotics Institute,Shanghai, China,Robotics,Development of autonomous robotic platforms for defense use,2020-07-12,License Required,Suspected integration with UAV systems
Altima Missile Research Center,Chengdu, China,Missile Systems,R&D in ballistic missile subsystem components,2018-11-03,License Required for All Items,Advanced guidance component testing observed
Arctic Naval Technologies,Murmansk, Russia,Marine Systems,Development of naval propulsion units for combat vessels,2017-12-29,License Required,Associated with restricted naval yards
Asia Precision Optics,Shenzhen, China,Defense Optics,Procurement of night-vision & high-resolution optics,2021-06-17,License Required for All Items,Possible diversion to defense labs
Atlas Heavy Armaments Lab,Minsk, Belarus,Defense Manufacturing,Production of heavy-grade steel for armored vehicles,2019-03-28,License Required,Supports multiple restricted entities
Aurora Aeronautics Systems,Harbin, China,Aerospace,Research into UAV aerodynamics for surveillance drones,2018-10-15,License Required,Suspected involvement in defense R&D
Beacon Marine Components,St. Petersburg, Russia,Marine Systems,Procurement of marine-grade sonar components,2020-09-04,License Required for All Items,Sonar arrays linked to restricted navy unit
Beijing Advanced Propulsion Works,Beijing, China,Aerospace,Development of jet engine combustion components,2021-02-11,License Required,Test facilities match military engine labs
Beijing ElectroWar Systems,Beijing, China,Electronic Warfare,Acquisition of RF jammers and signal disruptors,2017-06-30,License Required for All Items,EW interference capability suspected
Blue Horizon Chip Foundry,Shanghai, China,Semiconductors,Advanced IC fabrication for military-grade use,2020-01-08,License Required,Linked to defense electronics division
BrightStar Guidance Systems,Wuhan, China,Missile Systems,Development of navigation-grade inertial sensors,2019-12-19,License Required for All Items,High-precision IMU procurement flagged
Caspian Naval Engineering,Rostov, Russia,Marine Systems,Construction of hybrid propulsion for navy crafts,2018-05-03,License Required,Defense shipyard affiliations observed
Central Robotics Defense Lab,Beijing, China,Robotics,Research on robotic combat assistive systems,2021-09-27,License Required,Suspected testing of tactical robots
Changzhou Defense Electronics,Changzhou, China,Defense Electronics,Procurement of restricted microcontrollers,2017-08-11,License Required for All Items,Diversion channel for military ICs
Chongqing AeroTech,Chongqing, China,Aerospace,Acquisition of flight-control boards for UAVs,2019-11-06,License Required,High-end FCUs replicated locally
Cobalt Defense Metallurgy,Kazan, Russia,Materials,Production of alloys used in missile casings,2020-07-22,License Required for All Items,Military alloy specifications detected
ComTech Integrated Warfare Labs,Moscow, Russia,Electronic Warfare,Research into EW offensive capability,2018-02-18,License Required,Signals intelligence overlap suspected
Cosmos Aerospace Navigation,Beijing, China,Aerospace,Development of GPS-denied navigation modules,2021-01-28,License Required,GNSS-resistant tests observed
Crimson Aviation Machining,Harbin, China,Aerospace,Manufacturing of parts for high-performance jet engines,2017-10-07,License Required for All Items,Precision tolerances match fighter-jet specs
CyberLink Autonomous Defense Lab,Shanghai, China,AI & Robotics,AI-enabled combat target recognition research,2020-05-01,License Required,Possible defense AI deployment
Dalian Marine Dynamics,Dalian, China,Marine Systems,Structural components for unmanned underwater vehicles,2018-11-14,License Required for All Items,UUV component mapping suggests military end-use
Delta Optical Targeting Systems,Beijing, China,Defense Optics,Procurement of laser-range targeting optics,2021-04-03,License Required,Potential weapons integration
Diamond Missile Components,Chengdu, China,Missile Systems,Control fin and actuator manufacturing for missiles,2019-06-22,License Required for All Items,Strong ties to ballistic R&D
Eastern Robotics Warfare Division,Wuhan, China,Robotics,Combat-grade robotic arm development,2018-04-12,License Required,Unusual procurement of hydraulic servos
Elite Tactical Navigation,Rostov, Russia,Navigation Systems,Development of tactical-grade navigation computers,2020-08-27,License Required,Tested in military field exercises
Empire Jet Structures,Beijing, China,Aerospace,Advanced airframe component development,2017-01-19,License Required for All Items,Materials match restricted aircraft designs
Everest Metallurgical Defense Works,Lahore, Pakistan,Materials,Procurement of high-strength carbon steel,2019-03-13,License Required,Alloy spec matches missile-body standards
Falcon Military Radar Labs,Islamabad, Pakistan,Defense Electronics,Testing of airborne and ground-based radar units,2020-10-11,License Required,Suspected dual-use radar modification
Fars Combat Engineering,Tehran, Iran,Defense R&D,Procurement of micro-instrumentation tools,2017-04-29,License Required for All Items,Linked to missile calibration sites
FutureTech Autonomous Defense,Shenzhen, China,AI & Robotics,AI-driven autonomous drone algorithms,2021-09-09,License Required for All Items,Probable UAV targeting research
Galaxy Tactical Sensors,Chengdu, China,Navigation Systems,Development of high-accuracy gyroscopes,2019-05-14,License Required,Precision > defense threshold
Global Marine Propulsion Labs,Shanghai, China,Marine Systems,High-power propulsion rotor development,2020-01-26,License Required for All Items,Matches restricted navy engine design
Golden Star Defense Materials,Tehran, Iran,Materials,Composite prepregs for aerospace structures,2018-08-17,License Required,Linked to controlled aerospace programs
Green Valley Defense Electronics,Beijing, China,Defense Electronics,RF and signal-processing system acquisition,2017-12-08,License Required for All Items,Unverified military collaboration
Hafez Military Optics,Shiraz, Iran,Defense Optics,Precision optical lens procurement,2019-09-01,License Required,Suspected weapon-sighting adaptation
Harbin Aero Systems Lab,Harbin, China,Aerospace,Airborne telemetry components R&D,2021-03-18,License Required for All Items,Telemetry anomalies detected
Horizon Missile Propulsion,Chengdu, China,Missile Systems,Development of low-signature propulsion units,2018-05-30,License Required,Possible medium-range missile use
Ibrahim Tactical Engineering,Karachi, Pakistan,Defense Manufacturing,Procurement of precision industrial cutters,2020-12-06,License Required for All Items,Matches missile part machining requirements
Iceberg Combat Electronics,Moscow, Russia,Electronic Warfare,Signal-interference module development,2019-07-27,License Required,Integrated with ground-based EW units
Imperial Aerospace Robotics,Shanghai, China,Aerospace Robotics,Autonomous swarm drone research,2021-10-15,License Required,UAV swarm tests suspected
Industrial Military Materials,UAE (Dubai),Materials,Dual-use metal procurement for defense parts,2017-06-02,License Required for All Items,Diversion detected through shipping patterns
Infinite Defense MicroSystems,Beijing, China,Semiconductors,High-density ICs for military boards,2019-02-20,License Required,Suspected IC obfuscation
Inspire Combat Robotics,Shenzhen, China,Robotics,Development of combat quadruped robots,2020-09-18,License Required,High-torque actuator procurement flagged
Iran Defense NanoMaterials,Tehran, Iran,Materials,Composite nano-materials for missile fins,2018-03-21,License Required for All Items,Fin stiffness matches ballistic profile
IronBridge Military Steel,Minsk, Belarus,Materials,Production of hardened armor plating,2021-01-29,License Required,Armor plates tested in restricted facilities
Jade Precision Missile Works,Chengdu, China,Missile Systems,Wiring harnesses for missile guidance,2017-07-16,License Required for All Items,End-use inconsistencies flagged
Jiangsu Tactical Electronics,Jiangsu, China,Defense Electronics,Microprocessors for targeting systems,2019-04-02,License Required,Targeting board patterns match UAVs
Jinlong Aerospace Navigation,Beijing, China,Navigation Systems,Navigation control units for flight systems,2020-05-22,License Required for All Items,GNSS bypass technology observed
Kairos Military Automation,Shanghai, China,AI & Robotics,Autonomous vehicle movement algorithms,2018-09-14,License Required,Vehicle pathing matches defense needs
Karam Drone Defense Systems,Islamabad, Pakistan,UAV Systems,Testing of long-range surveillance drones,2021-06-11,License Required,Suspected restricted UAV payload mods
KazTech Missile R&D,Astana, Kazakhstan,Missile Systems,Control-system development for tactical missiles,2017-11-04,License Required for All Items,Multiple suspicious shipments
Kinetic Defense Chip Works,Shenzhen, China,Semiconductors,High-power chips for defense radar,2019-10-20,License Required,Waveform analysis suggests military radar use
Liberty Optoelectronics,Rostov, Russia,Defense Optics,Optical guidance components for weapons,2020-08-08,License Required for All Items,Infrared tuning activity observed
Lion Industrial Naval Systems,Dubai, UAE,Marine Systems,Specialized marine bearings procurement,2018-04-27,License Required,Suspected diversion to warship programs
Lotus Precision Hard Metals,Beijing, China,Materials,Hardened metals for missile structures,2021-02-14,License Required for All Items,Chemical composition identical to missile alloys
Magma Combat Robotics,Shanghai, China,Robotics,Development of bipedal tactical robots,2019-06-10,License Required,Defense-grade mobility tests reported
Marine Navigation Intelligence,Rostov, Russia,Navigation Systems,High-security naval navigation tech,2020-11-30,License Required for All Items,Connected to naval command systems
Medina Airborne Defense Systems,Lahore, Pakistan,Aerospace,Procurement of airborne surveillance tech,2018-01-28,License Required,Possible UAV deployment
MegaWave Combat Electronics,Beijing, China,Electronic Warfare,RF energy weapons R&D,2017-03-19,License Required for All Items,Unusual field test frequencies detected
Mercury Defense Robotics,Chengdu, China,Robotics,AI-guided robotic handling systems,2019-09-05,License Required,Associated with restricted combat units
MidEast Military Materials,Sharjah, UAE,Materials,Specialized missile-grade aluminum sheets,2021-07-23,License Required for All Items,Unusual high-purity stock
Mirage Aerospace Design,Harbin, China,Aerospace,Airframe optimization for unmanned aircraft,2018-10-02,License Required,Suspected linkage to PLA programs
Nano Precision Missile Metals,Beijing, China,Materials,High-density titanium composites,2019-01-16,License Required for All Items,Used in missile body reinforcement
NanoCore Military Sciences,Moscow, Russia,Defense R&D,AI + missile integration simulations,2020-12-21,License Required,Simulation logs match restricted systems
NeoVision Tactical Optics,Shanghai, China,Defense Optics,Weapon-sighting system components,2017-05-04,License Required for All Items,Focal calibration anomalies detected
Neptune Submersible Labs,Harbin, China,Marine Systems,Autonomous underwater vehicle R&D,2021-10-01,License Required,Suspected UUV intelligence-gathering tech
NorthStar Military Optics,Shanghai, China,Defense Optics,Procurement of long-range weapon optics,2018-11-19,License Required,Optical specs match sniper-scope military grade
NorthTech Ballistics Lab,Beijing, China,Missile Systems,Testing of short-range ballistic components,2021-03-28,License Required for All Items,High-risk trajectory simulation tools
Nova Aerospace Dynamics,Harbin, China,Aerospace,Airframe testing for unmanned combat aircraft,2019-05-30,License Required,Suspected PLA-affiliated innovations
Oceanic Subsurface Engineering,Qingdao, China,Marine Systems,Development of UUV hull components,2020-08-11,License Required,Pressure-resistant structures match navy UUVs
Omega Combat Robotics,Shanghai, China,Robotics,Autonomous tactical robot design,2017-09-01,License Required,Possible deployment in active defense regions
OmniDefense Semiconductors,Chengdu, China,Semiconductors,Chip production for military sensors,2018-02-13,License Required for All Items,Testing suggests hardened military chipsets
OptiCore Weapon Sights,Wuhan, China,Defense Optics,Development of red-dot and IR sights,2021-07-22,License Required,IR filters match assault-system specifications
Orbit Missile Technologies,Beijing, China,Missile Systems,Guidance control panel fabrication,2017-06-14,License Required for All Items,Possible integration with restricted missile systems
Pacific Jet Propulsion Lab,Chengdu, China,Aerospace,Small turbine engine research,2018-04-30,License Required,Turbine strength patterns indicate defense-grade performance
PanAsia Strategic Robotics,Shenzhen, China,Robotics,Testing of robotic reconnaissance systems,2019-11-12,License Required for All Items,Thermal cameras integrated for night ops
Peak Naval Intelligence,Harbin, China,Marine Systems,Marine radar R&D for warships,2020-05-07,License Required,High-frequency radar components detected
Pegasus Flight Systems,Beijing, China,Aerospace,Autopilot & flight-control system research,2021-11-18,License Required,UAV-level stability algorithms detected
Phoenix Armament Works,Tehran, Iran,Defense Manufacturing,Procurement of heavy machining tools,2019-10-23,License Required,Possible fabrication of weapons frames
Platinum Guidance Instruments,Chongqing, China,Navigation Systems,High-accuracy inertial module testing,2017-12-09,License Required for All Items,Suspected ballistic integration
Polar Military Automation,Minsk, Belarus,AI & Robotics,Automated targeting and tracking systems,2020-09-14,License Required,Algorithms reflect combat usage
Precision Aero Metals,Lahore, Pakistan,Materials,Aerospace-grade aluminum procurement,2018-06-27,License Required,Used in UAV airframe components
Prime Military Components,Karachi, Pakistan,Defense R&D,Actuator components for missile control,2021-04-03,License Required for All Items,Part shapes match restricted schematics
Quantum Ballistic Systems,Beijing, China,Missile Systems,Quantum navigation for missile accuracy,2019-03-18,License Required,Data anomalies resemble missile trials
Radar Combat Solutions,Shanghai, China,Electronic Warfare,Advanced signal jamming R&D,2020-12-28,License Required for All Items,Waveform patterns used for EW suppression
Raven Marine Propulsion,Rostov, Russia,Marine Systems,High-torque marine engine designs,2018-08-21,License Required,Associated with naval modernization program
Red Falcon Defense Electronics,Beijing, China,Defense Electronics,Combat communication hardware,2021-05-06,License Required for All Items,Encrypted transmissions detected
Redline Aerospace Composites,Shanghai, China,Aerospace,Composite materials for UAV wings,2017-07-16,License Required,Matching strength to restricted UAV specs
Rising Sun Combat Robotics,Chengdu, China,Robotics,AI-enhanced battlefield robots,2019-02-02,License Required for All Items,Classified actuator mapping patterns
RiverTech Naval Systems,Harbin, China,Marine Systems,Underwater acoustic research,2020-06-19,License Required,Frequencies align with military sonar
Royal Defense Chips,Shenzhen, China,Semiconductors,High-bandwidth ICs for radar and EW,2018-03-12,License Required,RFI shielding matches EW systems
Saffron Military Optics,Tehran, Iran,Defense Optics,Optical lens processing for scopes,2019-12-24,License Required for All Items,Weapon-sighting alignment observed
Sahara Tactical Engineering,Lahore, Pakistan,Defense Manufacturing,Robust structural components,2021-08-09,License Required,Dimensions match missile ribs
Sapphire UAV Systems,Shanghai, China,Aerospace,Testing UAV payload mechanisms,2017-11-17,License Required for All Items,Possible long-range UAV tests
SeaBridge Naval Intelligence,Qingdao, China,Marine Systems,Submarine mapping technology,2020-08-31,License Required for All Items,Sonar mapping depth beyond commercial use
Sentry Defense Labs,Wuhan, China,Defense Electronics,Tactical radio systems testing,2018-01-26,License Required,Encryption grades above civilian levels
Shadow Missile Engineering,Beijing, China,Missile Systems,Guidance algorithm development,2021-09-11,License Required for All Items,Algorithms resemble restricted missile code
SharpCore AeroDynamics,Shanghai, China,Aerospace,UAV flight-stability testing,2019-06-14,License Required,Patterns show controlled glide data
Shenzhen Marine Robotics,Shenzhen, China,Marine Systems,AUV (Autonomous Underwater Vehicle) robotics,2020-03-07,License Required,Test logs match naval AUV deployment
Shining Star Navigation,Harbin, China,Navigation Systems,GNSS-resistant navigation systems,2018-09-02,License Required for All Items,Potential missile navigation use
SilverWave Combat Engineering,Chengdu, China,Defense R&D,Material stress testing for military frames,2019-01-21,License Required,Stress curves beyond civilian use
SkyBridge Tactical AI,Shanghai, China,AI & Robotics,Real-time battlefield AI decision modules,2021-12-03,License Required,AI traces match combat simulation patterns
SkyFire Jet Components,Beijing, China,Aerospace,Jet turbine blade machining,2017-06-29,License Required for All Items,Material hardness indicates military spec
SolarEdge Missile Components,Chongqing, China,Missile Systems,Missile fin design & testing,2019-10-04,License Required,Matched restricted fin blueprint curvature
SolidCore Naval Composites,Qingdao, China,Marine Systems,Composite hull plates for underwater vehicles,2020-05-13,License Required for All Items,Submersible-grade reinforcement
South Asia Defense Metals,Lahore, Pakistan,Materials,Titanium and aluminum billets,2021-04-17,License Required,Material purity matches missile standards
Star Robotics Military Lab,Shanghai, China,Robotics,Robot-powered surveillance systems,2017-03-03,License Required,Patterns in movement logs resemble patrol robots
StarCore Defense Automation,Wuhan, China,AI & Robotics,Target classification AI,2018-12-15,License Required for All Items,AI flagged as dual-use risk
SteelMountain Missile Works,Chengdu, China,Missile Systems,High-strength missile casings,2020-08-22,License Required,Manufacturing patterns match restricted missiles
StoneBridge Jet Systems,Harbin, China,Aerospace,Jet engine heat-shield components,2019-05-05,License Required,Temperature specs exceed civilian engines
Storm Military AI,Beijing, China,AI & Robotics,Real-time hostile threat detection AI,2021-11-24,License Required,Sensitivity tuned for military operations
Sun Marine Defense Systems,Qingdao, China,Marine Systems,Submersible navigation controls,2017-10-12,License Required for All Items,Deep-water endurance beyond commercial grade
Sunrise Missile Dynamics,Chongqing, China,Missile Systems,Missile nozzle fabrication,2018-06-20,License Required,Exhaust flow patterns match ballistic missiles
Superior Aero Defense,Shanghai, China,Aerospace,High-load UAV structural beams,2020-02-29,License Required for All Items,Compressive strength above norms
Swift Combat Materials,Beijing, China,Materials,Special alloys for kinetic weapons,2021-04-09,License Required,Molecular alignment suggests warhead use
TechBridge Military Robotics,Shenzhen, China,Robotics,Defense-grade robotic manipulators,2019-02-14,License Required,Design parallels tactical robotics units
TechCore Missile Components,Chengdu, China,Missile Systems,Power units for missile guidance,2020-12-03,License Required for All Items,Performance matches restricted specs
TechNova UAV Research,Harbin, China,Aerospace,UAV flight-range enhancement research,2018-08-31,License Required,Suspected PLA experimentation zone
Titan Missile Material Lab,Beijing, China,Materials,High-strength missile body composites,2017-07-10,License Required for All Items,Material hardness aligns with MRBM specs
TopLine Jet Avionics,Shanghai, China,Defense Electronics,Avionics for tactical aircraft,2021-03-22,License Required,Suspected derivative of restricted avionics
TransAsia Naval Robotics,Qingdao, China,Marine Systems,Naval drone systems engineering,2019-09-16,License Required for All Items,AUV behavior logs suggest strategic tests
TriStar Tactical Electronics,Wuhan, China,Defense Electronics,Signal encryption modules,2020-01-18,License Required,Encryption strength â‰¥ battlefield levels
TwinTech Missile Control,Chengdu, China,Missile Systems,Missile steering firmware R&D,2018-11-08,License Required for All Items,Version signatures match restricted logic
Ultra Combat Automation,Shanghai, China,AI & Robotics,Autonomous threat-response systems,2021-06-14,License Required,AI used for tactical simulations
Universal Defense Optics,Beijing, China,Defense Optics,Scope lenses for sniper systems,2017-05-22,License Required for All Items,Tolerance matches military rifle optics
Universe Missile Components,Harbin, China,Missile Systems,Servo motors for missile actuation,2019-01-09,License Required,Servo torque beyond civilian levels
Vector Marine Technologies,Qingdao, China,Marine Systems,Advanced maritime intelligence sensors,2020-10-27,License Required,Range performance exceeds norms
Velox Ballistic Metal Works,Shanghai, China,Materials,Missile nose-cone alloys,2021-09-05,License Required for All Items,Heat tolerance matches hypersonic profiles
Venus Combat Navigation,Beijing, China,Navigation Systems,Directional systems for guided weapons,2018-02-16,License Required,Suspected integration in field trials
VisionTech UAV Systems,Shenzhen, China,Aerospace,UAV reconnaissance system R&D,2020-01-04,License Required for All Items,FLIR pattern analysis flagged
Vortex Naval Engineering,Rostov, Russia,Marine Systems,Propeller systems for naval stealth crafts,2019-08-22,License Required,Stealth noise profiles observed
Wuhan Tactical Navigation,Wuhan, China,Navigation Systems,Test benches for guided munitions,2017-06-19,License Required for All Items,Test data matched restricted signatures
Xiang Missile Propulsion,Chengdu, China,Missile Systems,Combustion modules for missile boosters,2021-12-01,License Required,Observed subscale missile test setups
Xinjiang Military Optics,Urumqi, China,Defense Optics,Weapon sight calibration,2018-03-11,License Required for All Items,Infrared calibration beyond civilian needs
YellowStone Defense Metals,Lahore, Pakistan,Materials,Specialized tungsten alloys,2019-06-28,License Required,Purity specification matches ammunition cores
Yuan Military Robotics,Shanghai, China,Robotics,Ground-based tactical robots,2020-09-09,License Required,Robotics logs match combat maneuver patterns
Zenith Naval Defense Lab,Qingdao, China,Marine Systems,Submarine system component design,2017-09-25,License Required for All Items,Hull pressure ratings exceed civilian limits
Zhonghua Missile Dynamics,Beijing, China,Missile Systems,Missile speed-control systems R&D,2019-12-15,License Required,Computational models resemble restricted systems
Zircon Tactical Electronics,Shanghai, China,Defense Electronics,Tactical signal analysis hardware,2021-07-03,License Required for All Items,Linked with EW test sites
Zubair Strategic Engineering,Karachi, Pakistan,Defense Manufacturing,Precision military components,2018-11-12,License Required,Possible support for restricted programs
