name,designation,nationality,listed_date,remarks
Abdul Karim Al-Masri,Individual,Syrian,2014-06-23,Associated with extremist armed groups
Abdul Rahim Khan,Individual,Afghan,2010-01-15,Linked to improvised explosive device networks
Abdul Salam Trading Co,Entity,Somali,2018-09-12,Supports operations of a listed armed faction
Abdullah Al-Farooq,Individual,Yemeni,2013-02-18,Facilitated foreign fighter travel
Aden Fisheries Export Ltd,Entity,Somali,2019-11-03,Illicit revenue generation for listed groups
Ahmed Global Logistics,Entity,Pakistani,2020-04-09,Afghan transit support to armed networks
Ahmed Rafiq,Individual,Pakistani,2011-12-17,Known procurement facilitator
Al Amal Finance House,Entity,Yemeni,2017-08-10,Funding channel for extremist causes
Al Ansar Charitable Society,Entity,Syrian,2016-05-20,Humanitarian cover for extremist group
Al Arafat Exchange,Entity,Afghan,2015-10-02,Known hawala operator for sanctioned group
Al Baraka Electronics Co,Entity,Sudanese,2022-03-01,Acquired restricted equipment
Al Burhan Steel Imports,Entity,Libyan,2020-06-17,Provided materials for prohibited activities
Al Fajr Trading Ltd,Entity,Somali,2016-07-23,Associated shell company for sanctions evasion
Al Farooq Shipping Lines,Entity,Iraqi,2014-09-18,Transported components for armed groups
Al Hadi Trust,Entity,Pakistani,2012-03-29,Funds diverted to listed organization
Al Hakam Industrial Co,Entity,Yemeni,2018-10-08,Associated with weapons procurement
Al Jazeera Construction Group,Entity,Sudanese,2017-07-21,Involved in diversion of controlled goods
Al Kareem Imports,Entity,Afghan,2018-11-14,Linked to explosives procurement
Al Madina Steel Works,Entity,Yemeni,2021-02-12,Industrial support to listed militia
Al Noor Charity Foundation,Entity,Pakistani,2010-05-21,Funds extremist media arms
Al Qadir Marine Lines,Entity,Somali,2019-03-30,Shipping network for prohibited items
Al Quds Cement Traders,Entity,Yemeni,2020-12-05,Provided raw material for prohibited structures
Al Rahmah Exporters,Entity,Pakistani,2021-06-11,Procures goods for extremist cells
Al Safa Heavy Machinery,Entity,Libyan,2022-01-19,Industrial procurement channel
Al Sayed International,Entity,Afghan,2014-03-15,Provided logistics to illicit groups
Al Shams Construction Co,Entity,Yemeni,2018-08-02,Front entity for clandestine activities
Al Tajir Electronics,Entity,Pakistani,2017-04-23,Illicit acquisition of communications equipment
Al Tanweer Import Export,Entity,Somali,2019-10-26,Associated with extremist procurement chain
Al Waha Trading FZE,Entity,UAE,2020-07-10,Acted as intermediary for arms network
Ali Hassan,Individual,Iraqi,2011-06-01,Trained operatives for listed group
Ali Raza,Individual,Pakistani,2017-09-29,Financial courier for extremist unit
Alpha Marine Services,Entity,Libyan,2020-03-07,Used to smuggle prohibited cargo
Amanullah Group,Entity,Afghan,2015-11-25,Associated with militant financing
Amin Steel Foundry,Entity,Pakistani,2013-05-02,Procurement of industrial components
Anbar Commercial Holdings,Entity,Iraqi,2021-09-17,Major logistics hub for armed group
Ansar Relief Foundation,Entity,Yemeni,2014-10-18,Funds extremist rehabilitation centers
Apex Freight Solutions,Entity,Somali,2016-02-11,Used for transnational goods diversion
Arabian Sunrise Imports,Entity,Iraqi,2020-01-28,Channel for smuggling operations
Arif Transport Co,Entity,Pakistani,2011-03-15,Linked to major logistics routes
Asia Defense Tools Ltd,Entity,Chinese,2020-12-22,Sales of restricted components
Atlas Engineering Works,Entity,Libyan,2017-11-13,Industrial fabrication for listed groups
Awan General Trading,Entity,UAE,2021-04-16,Intermediary for prohibited technologies
Aziz & Sons Traders,Entity,Afghan,2018-05-09,Known procurement facilitator
Baghdad Electronics Hub,Entity,Iraqi,2019-06-21,Import of controlled sensors
Bakr Al Jundi,Individual,Yemeni,2010-04-19,Senior operative in armed faction
Baloch Marine Exports,Entity,Pakistani,2021-10-29,Used for maritime smuggling
Barakat Steel Ltd,Entity,Somali,2019-12-05,Supplier for improvised weapons
Basra Oil & Gas FZE,Entity,UAE,2018-11-17,Revenue used for illicit activities
Beacon Metals Traders,Entity,Libyan,2017-06-09,Involved in dual-use materials
Bismillah Engineering,Entity,Pakistani,2021-08-14,Supports weaponization machinery
Black Sea Imports,Entity,Iraqi,2019-03-08,Procured chemical precursors
Blue Star Industrial Co,Entity,Chinese,2020-08-30,Dual-use electronics intermediary
Bright Future Charities,Entity,Yemeni,2022-02-01,Charity front for extremist operations
Capital Global Marine,Entity,Somali,2020-05-21,Associated with maritime diversion routes
Central Electronics Warehouse,Entity,Iraqi,2020-10-27,Stored sensitive equipment
Chengdu Precision Tools,Entity,Chinese,2018-06-29,Manufactures restricted CNC tools
Crescent Marine Lines,Entity,UAE,2017-12-09,Transport support to listed networks
Crown Industrial Supplies,Entity,Pakistani,2014-09-20,Procurement of restricted metals
Darwish Freight Logistics,Entity,Qatari,2021-11-18,Transshipment network
Delta Global Traders,Entity,Libyan,2018-08-22,Associated with controlled materials
Desert Trading Corp,Entity,Iraqi,2020-02-19,Funds illicit procurement
Diamond Marine Shipments,Entity,Somali,2017-05-21,Shipping for armed groups
Eastern Sunrise Exporters,Entity,Pakistani,2014-04-06,Front company for listed organization
Elite Mechanical Works,Entity,Yemeni,2016-09-02,Manufactures improvised weapon parts
Empire Maritime Services,Entity,Libyan,2019-10-10,Smooth movement of prohibited cargo
EverGreen Logistics Co,Entity,Somali,2021-06-03,Associated with illicit transport
Falcon Precision Tools,Entity,Chinese,2019-01-16,Producer of restricted high-precision tools
Farah International Traders,Entity,Pakistani,2017-03-05,Procured prohibited tech
Farid Marine Lines,Entity,Yemeni,2018-04-29,Shipments to embargoed actors
Fars Industrial Group,Entity,Libyan,2020-06-12,Manufactures controlled items
Fast Transit Shipping,Entity,Somali,2021-01-27,Transports restricted goods
Five Oceans Trading LLC,Entity,UAE,2015-07-17,Associated with dual-use exports
Fortune Defense Group,Entity,Chinese,2020-11-08,Linked to listed procurement actors
Frontier Gold Exchange,Entity,Pakistani,2019-09-03,Funds diverted to listed persons
Global Arms Consortium,Entity,Libyan,2017-01-21,Weapons broker for listed networks
Global Cargo Movers,Entity,Somali,2022-01-14,Used for illicit shipments
Global Electronics Hub,Entity,Chinese,2021-08-03,Procured sensitive semiconductor parts
Global Engineering Solutions,Entity,Iraqi,2018-12-08,Dual-use equipment supplier
Global Maritime Exchange,Entity,Somali,2017-03-20,Shipping permits used fraudulently
Golden Crescent Imports,Entity,Pakistani,2015-06-01,Financing of prohibited activities
Golden Falcon Steel,Entity,Yemeni,2018-07-11,Material support to armed groups
Golden Horizon Logistics,Entity,Iraqi,2020-01-09,Illicit transport support
Greenline Engineering Tools,Entity,Chinese,2020-10-14,Export of restricted machinery
Gulf Connect Traders,Entity,Somali,2021-07-04,Provides equipment to listed actors
Hadi Industrial Supplies,Entity,Pakistani,2016-02-17,Known procurement channel
Halal Charities Network,Entity,Yemeni,2018-05-27,Funds used for extremist recruitment
Hamidullah Transport Co,Entity,Afghan,2014-12-03,Logistics provider for illicit groups
Hassan Oil & Gas Traders,Entity,Iraqi,2017-04-12,Revenue diverted to listed networks
Hawk Electronics Ltd,Entity,Chinese,2019-11-22,Controlled electronics intermediary
Helios Marine Co,Entity,Somali,2021-03-19,Shipping of restricted items
Horizon Gold Exchange,Entity,Pakistani,2015-09-18,Funds extremist entities
Imperial Tools Ltd,Entity,Libyan,2022-02-12,Manufactures banned equipment
International Cargo Distributors,Entity,Somali,2019-05-04,Assists movement of prohibited goods
IronBridge Steel Works,Entity,Iraqi,2020-08-27,Material support to listed militias
Jafari Trading Group,Entity,Pakistani,2018-09-16,Procures semiconductor parts
Jalal Al Nour,Individual,Yemeni,2014-01-23,Operative of listed organization
Jamal Relief Society,Entity,Iraqi,2017-12-09,Funds extremist media activities
Javed Traders FZE,Entity,UAE,2020-03-14,Dual-use procurement hub
Jiangsu Marine Tools,Entity,Chinese,2019-08-27,Exports restricted maritime tools
Kabul Steel Works,Entity,Afghan,2016-11-03,Industrial support to armed networks
Karim Industrial Corp,Entity,Pakistani,2018-02-06,Material support to extremist cells
Kashmir Global Foundation,Entity,Pakistani,2015-10-11,Funds used by listed actors
Khan Marine Transport,Entity,Yemeni,2018-06-10,Maritime support to prohibited groups
Khyber International Traders,Entity,Afghan,2020-04-19,Known for procurement for listed units
Kingdom Electronics Ltd,Entity,Chinese,2021-02-15,Controlled chips and sensors supplier
Liberty Freight Lines,Entity,Iraqi,2022-03-03,Transport of prohibited cargo
LionHeart Logistics,Entity,Somali,2020-11-06,Smuggling facilitator
Marine Star Exports,Entity,Yemeni,2019-02-21,
Marine Star Exports,Entity,Yemeni,2019-02-21,Supplied components to listed militias
Meridian Trading Co,Entity,Pakistani,2020-05-16,Procured chemicals for prohibited uses
MidEast Electronics,Entity,Libyan,2021-01-14,Intermediary for controlled electronics
Mirage Steel Traders,Entity,Somali,2017-08-23,Linked to diversion of dual-use goods
Modern Precision Tools,Entity,Chinese,2018-12-30,Manufactures regulated machinery
Mountain Relief Fund,Entity,Afghan,2013-10-07,Funds linked to extremist activities
Najaf Cargo Movers,Entity,Iraqi,2019-06-14,Used to transport high-risk materials
Nasar Engineering Co,Entity,Pakistani,2016-03-27,Involved in industrial support to armed groups
National Marine Logistics,Entity,Somali,2021-10-25,Associated with maritime smuggling
Neo Defense Systems,Entity,Chinese,2020-02-11,Supplier of restricted drone tech
New Horizon Logistics,Entity,Yemeni,2018-09-13,Transport hub for prohibited movements
Nexus Global Traders,Entity,Pakistani,2015-11-29,Procured prohibited technology
NileTech Industries,Entity,Libyan,2020-07-08,Produced materials for sanctioned actors
Noor Electronic Supplies,Entity,Afghan,2019-09-28,Controlled equipment acquisition
North Sea Marine Lines,Entity,Somali,2017-05-11,Used in prohibited maritime operations
NorthStar Construction Ltd,Entity,Iraqi,2021-12-04,Front entity for extremist group
OceanBlue Shipping,Entity,Yemeni,2018-04-17,Transported illicit components
Omega Engineering Works,Entity,Pakistani,2022-03-01,Producer of restricted machinery
Orient Global Exports,Entity,Chinese,2016-12-09,Supplier of dual-use materials
Oriental Marine Services,Entity,Somali,2020-06-23,Provided maritime support to listed actors
 Orion Industrial Corp,Entity,Libyan,2019-11-02,Known supplier of controlled items
Pacific Cargo Movers,Entity,Yemeni,2017-03-13,Smuggling facilitator
Pamir Heavy Tools,Entity,Afghan,2021-02-22,Manufactured prohibited components
Panjshir Trading Corp,Entity,Pakistani,2018-10-15,Procured metals for armed groups
Patriot Engineering Solutions,Entity,Chinese,2020-01-29,Linked to dual-use electronics exports
Pearl Line Logistics,Entity,Somali,2021-06-19,Ships goods for extremist network
Pioneer Electronics Ltd,Entity,Libyan,2019-08-30,Intermediary for controlled microchips
Platinum Global Traders,Entity,Pakistani,2017-12-07,Funds diverted to illicit actors
Polar Star Maritime,Entity,Yemeni,2018-02-10,Known for prohibited maritime shipments
PowerTech Solutions,Entity,Chinese,2020-04-04,Controlled software supplier
Prime Marine Holdings,Entity,Somali,2019-03-12,Used for transshipment of goods
Qadir Electronics Hub,Entity,Libyan,2021-08-17,Manufactures components for listed units
Qasim Steel Works,Entity,Pakistani,2016-07-29,Industrial support facility
Qatari Industrial Traders,Entity,Qatari,2022-01-06,Associated with dual-use procurement
Quantum Defense Labs,Entity,Chinese,2020-10-08,Transfers regulated AI systems
Rafah Electronics,Entity,Yemeni,2015-11-19,Controlled equipment supplier
Rajan Industrial Tools,Entity,Pakistani,2017-10-16,Acquired prohibited materials
Red Crescent Holdings,Entity,Libyan,2021-03-25,Funds diverted to extremist operators
RedStar Heavy Machinery,Entity,Somali,2018-06-01,Procurement hub for restricted machinery
Regal Engineering Ltd,Entity,Afghan,2020-11-14,Industrial assistance for listed organizations
Rising Sun Logistics,Entity,Pakistani,2020-01-02,Transport of controlled items
RiverFront Marine Lines,Entity,Yemeni,2017-04-07,Shipping of prohibited materials
Royal Defense Technologies,Entity,Chinese,2019-09-11,Producer of restricted electronics
Sahara Cargo Transporters,Entity,Somali,2021-12-19,Involved in high-risk transshipment
Sahara Electronics,Entity,Libyan,2018-10-09,Procures controlled semiconductors
Sahara Relief Trust,Entity,Afghan,2016-06-04,Funnelled funds to armed groups
Salman Import Export,Entity,Pakistani,2021-05-22,Procurement channel for listed network
Samir Steel Foundry,Entity,Iraqi,2019-07-19,Material supplier to prohibited entities
Sana Freight Lines,Entity,Yemeni,2017-09-26,Used to transport illicit items
Sapphire Engineering Works,Entity,Afghan,2020-03-11,Supports industrial activities of listed group
SeaBridge Logistics,Entity,Somali,2021-01-28,Transshipment route operator
Seawave Marine Exporters,Entity,Pakistani,2018-05-20,Front company for smuggling network
Serene Technologies,Entity,Chinese,2019-04-17,Controlled technology supplier
Seven Oceans Marine Lines,Entity,Yemeni,2017-12-14,Linked to prohibited maritime shipments
Shaheen Industrial Supplies,Entity,Pakistani,2020-09-03,Associated with controlled imports
Shams Engineering Tools,Entity,Libyan,2021-10-27,Producer of restricted components
SharpTech Industries,Entity,Afghan,2018-08-31,Known for controlled materials support
Shining Star Marine Group,Entity,Somali,2019-02-06,Maritime support organization
Silverline Electronics,Entity,Chinese,2020-06-13,Controlled sensor distribution
Sirius Defense Corp,Entity,Libyan,2018-01-24,Weapons component broker
Skyline Maritime Services,Entity,Yemeni,2021-11-09,Transporter of high-risk items
Solomon Logistics,Entity,Pakistani,2017-07-18,Hub for illicit material movement
SolarTech Engineering,Entity,Chinese,2019-05-16,Producer of restricted laser systems
South Asia Engineering,Entity,Afghan,2020-08-25,Industrial supplier for listed groups
Southern Cross Marine,Entity,Somali,2019-01-03,Ships prohibited goods
Star Marine Exporters,Entity,Yemeni,2016-04-08,Transport facilitator
StarTech Global Solutions,Entity,Chinese,2021-07-02,Controlled tech distributor
SteelBridge Trading Ltd,Entity,Libyan,2017-02-17,Metal supplier to armed factions
Sterling Metals Co,Entity,Pakistani,2018-11-29,Industrial component buyer
Summit Electronics,Entity,Afghan,2020-01-21,Controlled device procurement
Sunrise Relief Foundation,Entity,Yemeni,2017-06-30,Charity linked to militant group
Sunset Steel Corp,Entity,Somali,2019-04-02,Provider of controlled materials
Superior Precision Tools,Entity,Chinese,2021-09-15,Dual-use machinery exporter
Swift Cargo Handlers,Entity,Pakistani,2016-03-19,Transport of prohibited goods
Synergy Global Solutions,Entity,Afghan,2018-02-11,Supported listed industrial activities
Titan Engineering Hub,Entity,Libyan,2020-10-14,Manufactured restricted parts
TransAsia Marine Lines,Entity,Somali,2021-08-09,Used for prohibited shipments
TriStar Heavy Machinery,Entity,Chinese,2019-07-27,Exports of controlled machinery
United Steel Industries,Entity,Pakistani,2015-12-05,Material support to listed network
Universal Marine Services,Entity,Yemeni,2018-03-18,Operated routes for illicit goods
Uplift Charities Network,Entity,Afghan,2020-02-10,Funds used by listed groups
Victory Industrial Tools,Entity,Chinese,2019-08-14,Supplier of controlled lathe equipment
West Coast Shipping Lines,Entity,Somali,2017-10-05,Shipping partner of prohibited actors
White Star Electronics,Entity,Libyan,2021-12-22,Controlled electronics exporter
Zephyr Engineering Co,Entity,Pakistani,2018-03-08,Procured materials for weapons
Zia Marine Exports,Entity,Yemeni,2019-09-10,Known maritime facilitator
Zircon Industrial Traders,Entity,Chinese,2020-12-18,Exports prohibited industrial gear
Zubair Steel Works,Entity,Pakistani,2016-09-13,Industrial support for listed factions
