name,address,country,uvl_added_date,reason
AeroTech Solutions,Beijing, China,2018-03-15,Unable to verify end-user legitimacy
Alpha Industrial Robotics,Shenzhen, China,2019-06-12,Verification request unanswered
Alpine Electronic Tools,Guangzhou, China,2020-04-09,Inconclusive verification attempt
Aman Steel Works,Lahore, Pakistan,2017-10-28,End-use documentation incomplete
Amir Precision Tools,Karachi, Pakistan,2021-05-14,Unable to confirm bona fides
Apex MicroSystems,Shanghai, China,2019-01-23,End-use information inconsistent
Arctic Industrial Co,Minsk, Belarus,2020-02-16,Lack of transparency in transactions
Asia Pacific Engineering,Chengdu, China,2018-11-19,No response to end-user inquiry
Atlas Machining Tools,Guangxi, China,2021-07-02,Unable to verify authenticity of buyer
Aurora Navigation Systems,Wuhan, China,2017-05-31,Questionable procurement patterns
Beijing Semiconductor Works,Beijing, China,2018-08-26,Unverified due to missing documentation
Beijing Steel Machinery Co,Beijing, China,2019-10-07,Unable to confirm operational legitimacy
Blue Star Electronics,Shenzhen, China,2020-06-17,Incomplete end-use certification
Brightway Robotics,Hong Kong, China,2021-09-14,Unconfirmed end-user business activities
Capital Industrial Imports,Shanghai, China,2018-04-04,Suspicious purchasing history
Caspian Chip Traders,Tashkent, Uzbekistan,2019-03-21,Unable to verify due to incomplete records
Central Robotics Lab,Shenzhen, China,2021-11-10,No response to BIS inquiry
Changzhou Steel Works,Changzhou, China,2017-12-22,Failure to complete end-user verification
Chen Electronics Co,Wuhan, China,2018-06-15,Unable to verify facility operations
China Advanced Materials Group,Hangzhou, China,2019-02-14,High-risk unverified procurement
China Automation Hub,Shanghai, China,2020-01-29,Unverified supply chain links
China Marine Components,Guangzhou, China,2017-09-11,End-user inquiry unanswered
China NanoTech Engineering,Beijing, China,2019-11-06,Inadequate compliance response
Core Dynamics,Shenzhen, China,2020-07-23,Unable to confirm corporate details
Crescent Industrial Parts,Lahore, Pakistan,2018-05-18,Documentation discrepancies
Crimson Robotics,Chengdu, China,2021-02-08,Failed verification due to non-cooperation
CyberVision Technologies,Shanghai, China,2017-01-14,Unverified due to incomplete responses
Dalian MicroTools,Dalian, China,2019-09-12,Unable to confirm end-use destination
Delta NanoFab,Beijing, China,2020-03-05,End-user facility unavailable for verification
Diamond Marine Traders,Karachi, Pakistan,2018-10-30,Inconsistent procurement records
Eagle Electronics,Shenzhen, China,2021-03-21,Unable to verify buyer identity
EastTech Robotics,Chongqing, China,2017-08-04,Lack of transparency in business structure
Elite Navigation Instruments,Shanghai, China,2019-06-02,Unverified due to evasive responses
Empire Precision Works,Wuhan, China,2020-10-16,Unverified operational status
Everest Heavy Tools,Lahore, Pakistan,2021-05-11,Unable to confirm genuine operations
Fang Robotics Ltd,Beijing, China,2018-12-01,Failed verification inspection
Farooq Industrial Traders,Karachi, Pakistan,2017-03-08,Incomplete documentation submissions
FarStar MicroCircuits,Shenzhen, China,2019-05-14,Unverified end-use controls
Fenghua Engineering Tools,Shanghai, China,2020-08-25,Unable to confirm end-user address
Future Precision Machining,Beijing, China,2021-02-19,Unverified due to suspicious activity
Galaxy MicroTech,Chengdu, China,2018-07-22,Lack of verifiable business registration
Gamma Semiconductors,Shenzhen, China,2019-12-05,Unverified due to missing supply chain info
Golden Mountain Robotics,Hangzhou, China,2020-09-14,Unable to validate ownership structure
GreenLine Electronics,Lahore, Pakistan,2017-06-20,No response to verification inquiry
Hanjiang Robotics,Wuhan, China,2018-11-27,Unverified business activities
Harbin Precision Cutting Tools,Harbin, China,2019-03-04,Verification attempt unsuccessful
Horizon Marine Components,Beijing, China,2021-10-23,Unverified customer base
Hubei Industrial Machinery Co,Hubei, China,2017-04-28,End-user inspection refused
Hunan Metal Works,Hunan, China,2018-09-13,Unverifiable procurement chain
Industrial Dynamics,Shanghai, China,2019-02-09,Unable to confirm legitimacy of operations
Infinite Robotics,Shenzhen, China,2020-01-14,No compliance response received
Inner Mongolia Chip Systems,Inner Mongolia, China,2017-10-06,Missing documentation on critical shipments
IronBridge Engineering,Lahore, Pakistan,2018-06-16,Failed verification due to untraceable location
Jade Engineering Tools,Chongqing, China,2019-08-21,Unverified due to inconsistent data
Jiangsu Metals & Machinery,Jiangsu, China,2020-05-17,Unverified industrial procurement
Jinlong Automation,Beijing, China,2021-07-28,Unable to confirm factory operations
Kaihua Chip Works,Shanghai, China,2017-11-09,Lack of access for BIS verification
Karam Navigation Systems,Wuhan, China,2018-02-26,Unverified customer operations
Kashmir Electronics House,Peshawar, Pakistan,2019-03-19,Unverified due to missing records
KazTech Trading LLC,Astana, Kazakhstan,2020-06-08,Unable to verify transaction authenticity
Kingdom Robotics,Harbin, China,2021-04-25,Unverified acquisition of robotics components
Kinetic Engineering Co,Beijing, China,2017-12-02,Unverified operations
Komodo MicroSystems,Shenzhen, China,2019-06-15,Inconsistent end-use statements
Kunshan NanoTech,Kunshan, China,2020-04-18,Unable to validate supply chain info
Lahore Precision Tools,Lahore, Pakistan,2021-05-06,End-use verification failed
Lanxi Robotics Institute,Hangzhou, China,2018-01-29,No response from company representatives
LionChip Technologies,Shanghai, China,2019-07-26,Unverified due to lack of records
LongMarch Components,Beijing, China,2020-03-10,Unable to verify corporate registration
Lotus Dynamics,Chengdu, China,2021-09-11,Potential high-risk customer flagged
Magma Robotics Laboratory,Wuhan, China,2017-08-03,End-user legitimacy doubts
MarineTech Navigation,Dalian, China,2018-12-18,Failure to respond to BIS inquiries
MegaCore Circuits,Shenzhen, China,2019-01-21,Unverified due to missing compliance forms
Metro Industrial Tools,Lahore, Pakistan,2020-11-17,Unable to verify end-user premises
MicroChip Automation,Beijing, China,2021-06-01,Inadequate compliance documentation
MicroLink Circuits,Shanghai, China,2017-02-22,End-use discrepancies
Modern Robotics Lab,Chengdu, China,2018-05-16,Unverified due to contradictory data
NanoCore Precision,Wuhan, China,2019-11-24,No response from listed contacts
NanoMaterials Hub,Shenzhen, China,2020-07-02,Unverified due to missing declarations
NanoVision Semiconductors,Shanghai, China,2021-08-05,Unable to verify actual end use
NanoWave Technologies,Shenzhen, China,2019-02-17,Unverified due to incomplete shipment records
National Electronics Hub,Lahore, Pakistan,2020-06-07,Unable to validate end-user address
NeoChip MicroSystems,Beijing, China,2018-03-26,Verification attempt unsuccessful
NeoTech Automation,Wuhan, China,2021-11-04,Inadequate response to BIS inquiry
Neptune Industrial Tools,Karachi, Pakistan,2017-09-13,Failed verification due to inconsistent data
Nexus Robotics,Shanghai, China,2019-08-11,Unable to confirm business legitimacy
Ningbo Precision Tools,Ningbo, China,2020-04-29,End-use inspection not permitted
NorthStar Chip Foundry,Shenzhen, China,2018-02-14,Unverified due to evasive responses
NorthTech Metals,Lahore, Pakistan,2021-03-27,Untraceable procurement channels
Oceanic Chip Systems,Chengdu, China,2019-10-03,Unable to verify actual end-user
Omega Precision Manufacturing,Beijing, China,2017-04-21,Unverified supply chain
Omni Electronics Ltd,Wuhan, China,2018-07-25,Verification forms incomplete
OptiCore Technologies,Shanghai, China,2020-02-13,Failed verification due to non-response
OptiVision MicroLab,Shenzhen, China,2021-05-09,Unable to confirm location authenticity
Orion Heavy Tools,Chongqing, China,2017-11-15,Unverifiable business ownership
Pacific Navigation Instruments,Shanghai, China,2019-06-30,No cooperation with BIS inquiry
Pacific Robotics Lab,Beijing, China,2020-03-22,Unverified production facilities
Pamir Engineering Co,Lahore, Pakistan,2021-09-14,Incomplete compliance documentation
PanAsia Chip Traders,Shenzhen, China,2018-08-27,Unable to validate supply chain integrity
Peak Precision Tools,Wuhan, China,2019-12-04,Unconfirmed business identity
Pegasus MicroCircuits,Beijing, China,2020-06-18,Unable to confirm operational legitimacy
Phoenix Industrial Robotics,Chengdu, China,2017-10-09,Unverified AI systems acquisition
Pioneer Precision Tools,Shanghai, China,2018-05-03,No valid end-user verification
Platinum Chip Manufacturing,Shenzhen, China,2019-11-26,Unverified semiconductor acquisition
Polar Dynamics,Wuhan, China,2020-09-30,Unable to confirm purchaser information
Prime Industrial Circuits,Beijing, China,2021-01-11,Failed verification inspection
ProTech Nanomaterials,Shanghai, China,2017-06-29,Unverified due to incomplete responses
Quantum Automation Lab,Chengdu, China,2018-01-18,Unable to verify look-alike facility
Quantum Chip Works,Shenzhen, China,2019-04-17,No accessible contacts for verification
QuickSteel Supplies,Lahore, Pakistan,2020-11-04,Unverified due to inconsistent warehouse records
Radar MicroSystems,Beijing, China,2021-10-19,Failed end-user verification
Raja Steel Traders,Karachi, Pakistan,2017-03-08,No documented end-use certification
RapidCore Robotics,Shanghai, China,2018-06-22,Inadequate compliance responses
Redline Chip Solutions,Shenzhen, China,2019-02-28,Failed to respond to verification notice
Regal Technologies,Wuhan, China,2020-08-14,Unverified due to incomplete audit
Rising Star Engineering,Lahore, Pakistan,2021-06-03,Unable to confirm warehouse address
RiverBed Electronics,Beijing, China,2018-09-16,Unverified due to inconsistent procurement data
Royal Chip Traders,Shanghai, China,2019-07-21,Failed verification inquiries
Saffron Robotics Lab,Chengdu, China,2020-05-11,Unverified dual-use robotics procurement
Sahara Electronics,Lahore, Pakistan,2017-12-04,Unable to confirm operational legitimacy
Sapphire MicroTools,Shenzhen, China,2018-03-30,Verification inspection refused
SeaLink Marine Systems,Shanghai, China,2019-09-27,Unable to verify facility operations
Seawave Circuits,Beijing, China,2020-01-08,Incomplete end-user responses
SharpEdge Chip Manufacturing,Shenzhen, China,2021-07-12,Unverified due to contradictory information
Shenzhen MicroTech,Shenzhen, China,2017-06-25,Verification incomplete
Shining Star Robotics,Wuhan, China,2018-08-03,Unverified research facility
Silicon Dynamics,Beijing, China,2019-03-12,Unvalidated procurement trails
SilverWave Technologies,Shanghai, China,2020-10-24,Unable to verify authenticity of operations
Sky Industries,Lahore, Pakistan,2021-04-17,Could not verify physical address
SkyVision Chips,Shenzhen, China,2018-12-09,Incomplete compliance submissions
SmartCore Chip Solutions,Chengdu, China,2019-05-24,Verification attempt failed
SoftWave Precision Tools,Beijing, China,2020-06-20,Unverified documentation
SolarChip Automation,Shanghai, China,2021-11-18,End-user identity unconfirmed
Solid Industrial Tools,Lahore, Pakistan,2017-09-02,Unverified supply chain records
South China Chip Systems,Shenzhen, China,2018-07-27,Failed to complete verification
Star Electronics,Wuhan, China,2019-11-08,Unverified procurement entity
StarCore MicroSystems,Guangzhou, China,2020-03-05,Insufficient end-use details
SteelMountain Engineering,Lahore, Pakistan,2021-01-29,No evidence of legitimate operations
StoneBridge Navigation,Shanghai, China,2017-10-14,Unverified due to suspicious activity
Storm Robotics Institute,Beijing, China,2018-02-12,Unverified R&D department
Sun Marine Tools,Chongqing, China,2019-08-21,Unknown final destination of goods
Sunrise Chip Works,Shenzhen, China,2020-05-15,Unverified business legitimacy
Superior Micro Engineering,Wuhan, China,2021-03-26,Unable to verify key personnel
Swift Precision Tools,Lahore, Pakistan,2017-01-11,Unverified facility location
TechBridge Dynamics,Shanghai, China,2018-04-19,Incomplete supporting documents
TechCore Robotics,Shenzhen, China,2019-07-30,Failed verification communication
TechNova Electronics,Wuhan, China,2020-06-22,Unverifiable end-user identity
Titan MicroSystems,Beijing, China,2021-10-30,Unverified chip acquisition
TopLine Materials,Lahore, Pakistan,2018-12-05,Failed verification due to insufficient data
TransAsia Chip Traders,Chengdu, China,2019-01-28,Unable to verify supply chain flow
TriStar MicroTools,Shenzhen, China,2020-10-03,Unverifiable industrial credentials
TwinTech Robotics,Beijing, China,2021-05-08,Lack of cooperation during verification
Ultra Dynamics,Wuhan, China,2017-03-22,Unverified end-use documentation
Universal Steel Traders,Lahore, Pakistan,2018-11-16,Untraceable buyer information
Universe Chip Corporation,Shanghai, China,2019-06-14,Failure to provide required documents
Vector Marine Electronics,Guangzhou, China,2020-04-30,Location unverifiable
Velox MicroEngineering,Beijing, China,2021-09-13,End-user facility could not be confirmed
Venus Micro Circuits,Shenzhen, China,2018-07-01,Unverified due to missing business license
VisionTech Robotics,Chengdu, China,2019-11-26,Incomplete procurement paperwork
Vortex NanoSystems,Wuhan, China,2020-02-17,Unable to confirm end-user data
Wuhan Chip Assembly,Wuhan, China,2021-07-09,Verification attempt inconclusive
Xiang Industrial Materials,Shanghai, China,2017-04-16,No access provided for end-user verification
Xiao Robotics,Beijing, China,2018-10-11,Unverifiable technology acquisition
Xinjiang Micro Components,Urumqi, China,2019-02-18,Failed due to inconsistent company data
YellowStone Tools,Lahore, Pakistan,2020-08-26,Unverified industrial operations
Yuan Chip Technologies,Shanghai, China,2021-11-27,Unable to verify supply chain records
Zenith Industrial Traders,Beijing, China,2017-06-28,No compliance documentation submitted
Zhonghua Chip Systems,Shenzhen, China,2018-12-20,Unverified due to missing export records
Zircon Robotics,Wuhan, China,2019-04-07,Inconsistent end-use statements
Zubair Trading House,Lahore, Pakistan,2020-05-31,Unable to verify customer legitimacy
